,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
205,1,1,4,2,24,20,13,4,11,16,3,3,0
206,0,0,10,15,17,12,16,25,1,-13,1,2,0
207,1,2,6,8,19,17,12,17,7,0,0,2,-1
208,1,2,17,15,12,9,25,15,-13,-6,1,1,-1
209,2,1,17,6,7,20,14,14,-7,6,2,2,1
210,1,1,16,8,7,16,20,13,-13,3,1,0,0
211,0,1,17,12,9,16,23,16,-14,0,1,1,-1
212,1,1,18,13,5,13,21,17,-16,-4,1,4,0
213,4,2,13,15,9,10,15,21,-6,-11,0,3,2
214,3,2,20,17,13,10,33,23,-20,-13,0,1,1
215,1,0,19,7,6,16,14,12,-8,4,1,2,1
216,2,1,19,12,9,12,24,16,-15,-4,0,1,1
217,0,0,3,17,27,21,19,30,8,-9,0,0,0
218,0,0,23,1,16,32,26,21,-10,11,3,4,0
219,1,0,3,20,31,24,17,29,14,-5,2,2,1
220,2,0,13,19,24,11,23,22,1,-11,2,0,2
221,1,1,16,2,30,21,31,9,-1,12,5,6,0
222,1,2,24,5,14,37,28,25,-14,12,1,0,-1
223,2,1,2,1,5,5,5,1,0,4,3,1,1
224,2,0,4,16,17,19,8,24,9,-5,1,0,2
225,2,1,19,11,11,12,26,15,-15,-3,0,1,1
226,1,0,18,22,22,12,32,24,-10,-12,1,1,1
227,3,2,4,1,4,6,5,2,-1,4,1,1,1
228,0,3,5,14,25,24,17,23,8,1,1,1,-3
229,3,3,8,23,22,14,18,23,4,-9,3,0,0
230,1,2,16,4,18,26,22,12,-4,14,1,1,-1
231,1,0,23,5,12,33,21,23,-9,10,1,3,1
232,4,0,3,24,38,15,21,35,17,-20,3,3,4
233,2,2,19,9,16,20,25,24,-9,-4,1,5,0
234,4,2,4,2,2,3,4,4,-2,-1,1,3,2
235,1,1,9,19,19,13,20,22,-1,-9,1,1,0
236,2,1,13,6,21,27,22,21,-1,6,2,0,1
237,0,2,21,12,23,25,30,24,-7,1,1,0,-2
